product_name,product_url,product_type,price,Concern List,Skin Type,ingredients,Concern List_
Weleda Skin Food (75ml),https://www.lookfantastic.com/weleda-skin-food-75ml/10540680.html,Moisturiser,£12.95,"['Acne-prone', 'Enlarged pores']",Oily,"['helianthus annuus seed oil', 'lanolin', 'prunus amygdalus dulcis', 'cera alba', 'alcohol', 'polyglyceryl-3 polyricinoleate', 'glycerin', 'limonene', 'viola tricolor extract', 'parfum', 'hydrolyzed cera alba', 'sobitan olivate', 'rosmarinus officinalis extract', 'chamomilla recutita flower oil', 'calendula officinalis extract', 'arganine', 'zinc sulfate', 'linalool', 'geraniol', 'citral', 'coumarin']","'Acne-prone', 'Enlarged pores'"
JASON Aloe Vera 98% Moisturising Gel Tube 113g,https://www.lookfantastic.com/jason-aloe-vera-98-moisturising-gel-tube-113g/10546528.html,Moisturiser,£2.99,['Redness'],Dry,"['aloe barbadenis extract', 'glycerin', 'allantoin', 'polysorbate-20', 'panthenol', 'potassium carbomer', 'arganine', 'menthol', 'benzyl alcohol', 'potassium sorbate', 'sodium benzoate', 'chlorophyllin-copper complex', 'parfum']",'Redness'
Clinique Dramatically Different Moisturising Gel 125ml with Pump,https://www.lookfantastic.com/clinique-dramatically-different-moisturizing-gel-125ml-with-pump/11144718.html,Moisturiser,£30.00,['Bags under eyes'],Dry,"['dimethicon', 'isododecane', 'butylene glycol', 'bis-peg-18 methyl ether dimethyl', 'glycerin', 'laminaria saccharina extract', 'polygonum cuspidatum root extract', 'saccharomyces lysate extract', 'cucumis sativus extract', 'hordeum vulgare extract', 'helianthus annuus seed oil', 'caffeinee', 'trehalose', 'sodium hyaluronate', 'tocopheryl acetate', 'polysilicone-11', 'silica', 'propylene glycol dicoco-caprylate', 'oleth-10', 'lactobacillus', 'laureth-23', 'laureth-4', 'ammonium acryloyldimethyltaurate/vp', 'carbomer', 'caprylyl glycol', 'hexylene glycol', 'tromethamine', 'disodium edta', 'phenoxyethanol', 'ci 19140', 'ci 14700', 'ci 15985']",'Bags under eyes'
La Roche-Posay Effaclar Duo+ SPF30 40ml,https://www.lookfantastic.com/la-roche-posay-effaclar-duo-spf30-40ml/11434756.html,Moisturiser,£17.50,"['Acne-prone', 'Enlarged pores']",Oily,"['octocrylene', 'glycerin', 'homosalate', 'ethylhexyl salicylate', 'alcohol denat', 'niacinamide', 'butyl methoxydibenzoylmethane', 'dimethicon', 'sorbitan stearate', 'silica', 'isopropyl lauroyl sarcosinate', 'sarcosinate', 'styrene/acrylates']","'Acne-prone', 'Enlarged pores'"
Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,https://www.lookfantastic.com/estee-lauder-daywear-advanced-multi-protection-anti-oxidant-creme-spf15-n-c-50ml/11141582.html,Moisturiser,£40.50,['Bags under eyes'],Dry,"['ethylhexyl salicylate', 'dimethicon', 'butyloctyl salicylate', 'butylene glycol', 'butyl methoxydibenzoylmethane', 'polyester-8', 'cetyl ricinoleate', 'steareth-21', 'steareth-2', 'di-c12-15 alkyl fumarate', 'capric triglyceride', 'polysilicone-11', 'psidium guajava (guava) fruit extract', 'gentiana lutea (gentian) root extract', 'polygonum cuspidatum root extract', 'stearyl alcohol', 'hordeum vulgare extract', 'laminaria ochroleuca extract', 'rosmarinus officinalis extract', 'triticum vulgare bran extract', 'artemia extract', 'fumaria officinalis flower/leaf/stem extract', 'caffeinee', 'pentylene glycol', 'citrus limon juice extract', 'hydrolyzed opuntia ficus indica flower extract', 'vitis vinifera extract', 'hydrolyzed opuntia ficus indica flower extract', 'lauryl peg-9', 'thermus thermophillus ferment', 'behenyl alcohol', 'acrylic acid/vp crosspolymer', 'triacontanyl pvp', 'glycerin', 'c12-15', 'linoleic acid', 'cholesterol', 'squalene', 'sodium pca', '1,2-hexanediol', 'urea', 'capric triglyceride', 'dipropylene glycol', 'tocopheryl acetate', 'acrylamide/sodium', 'tetrahexyldecyl ascorbate', 'sodium hyaluronate', 'ergothioneine', 'isohexadecane', 'ppg-15 stearyl ether', 'glycyrrhetinic acid', 'trehalose', 'polyquaternium-51', 'polysorbate 80', 'lecithin', 'hydrogenated lecithin', 'fumaric acid', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'caprylyl glycol', 'cyclodextrin', 'sodium hydroxide', 'nordihydroguaiaretic acid', 'sodium chloride', 'ascorbyl tocopheryl maleate', 'parfum', 'citric acid', 'ethylbisiminomethylguaiacol manganese chloride', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'disodium edta', 'bht', 'sodium dehydroacetate', 'phenoxyethanol', 'ci 42090', 'ci 19140', 'ci 77289']",'Bags under eyes'
La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-toleriane-ultra-overnight-moisturiser-40ml/11259356.html,Moisturiser,£19.00,"['Acne-prone', 'Enlarged pores', 'Redness']",Oily,"['glycerin', 'squalene', 'propanediol', 'butylene glycol', 'butyrospermum parkii', 'pentylene glycol', 'niacinamide', 'dimethicon', 'ammonium polyacryloyldmethyl taurate', 'polymethylsilsesquioxane', 'polysorbate-20', 'allantoin', 'glyceryl acrylate/acrylic acid copolymer', 'dimethiconol', 'aluminum starch octenylsuccinate', 'carnosine', 'disodium edta', 'citric acid', 'acetyl dipeptide-1 cetyl', 'xanthan gum', 't-butyl alcohol', 'toluene sulfonic acid', 'tocopherol']","'Acne-prone', 'Enlarged pores', 'Redness'"
La Roche-Posay Effaclar K(+) Anti-Blackhead Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-effaclar-k-anti-blackhead-moisturiser-40ml/11134733.html,Moisturiser,£17.00,"['Acne-prone', 'Enlarged pores']",Oily,"['propylene glycol', 'octyldodecanol', 'dimethicon', 'peg-100 stearate', 'glyceryl stearate', 'salicylic acid', 'ammonium polyacryloyldmethyl taurate', 'zinc pca', 'sarcosine', 'sodium hydroxide', 'silica', 'silica silylate', 'perlite', 'carnosine', 'disodium edta', 'capryloyl salicylic acid', 'xanthan gum', 'pentylene glycol', 'acrylates copolymer', 'cetyl alcohol', 'butylene glycol', 'tocopherol', 'parfum']","'Acne-prone', 'Enlarged pores'"
Weleda Skin Food (30ml),https://www.lookfantastic.com/weleda-skin-food-30ml/10540679.html,Moisturiser,£7.95,"['Acne-prone', 'Enlarged pores']",Oily,"['helianthus annuus seed oil', 'lanolin', 'prunus amygdalus dulcis', 'cera alba', 'alcohol', 'polyglyceryl-3 polyricinoleate', 'glycerin', 'limonene', 'viola tricolor extract', 'parfum', 'hydrolyzed cera alba', 'sobitan olivate', 'rosmarinus officinalis extract', 'chamomilla recutita flower oil', 'calendula officinalis extract', 'arganine', 'zinc sulfate', 'linalool', 'geraniol', 'citral', 'coumarin']","'Acne-prone', 'Enlarged pores'"
La Roche-Posay Nutritic Intense Rich 50ml,https://www.lookfantastic.com/la-roche-posay-nutritic-intense-rich-50ml/11091859.html,Moisturiser,£18.00,"['Acne-prone', 'Enlarged pores']",Oily,"['glycerin', 'cetearyl alcohol', 'capric triglyceride', 'glyceryl stearate', 'alcohol denat', 'ethylhexyl palmitate', 'dimethicon', 'butyrospermum parkii', 'myristyl myristate', 'niacinamide', 'peg-100 stearate', 'glycine soja extract', 'sodium polyacrylate', 'myristyl malate phosphonic acid', 'disodium edta', 'caprylyl glycol', 'citric acid', 'tocopherol', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'phenoxyethanol', 'parfum']","'Acne-prone', 'Enlarged pores'"
Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,https://www.lookfantastic.com/origins-ginzing-energy-boosting-tinted-moisturizer-spf40-50ml/11396733.html,Moisturiser,£32.00,"['Acne-prone', 'Enlarged pores', 'Bags under eyes']",Oily,"['ethylhexyl methoxycinnamate', 'butylene glycol', 'titanium dioxide', 'cetyl alcohol', 'zinc oxide', 'neopentyl glycol diheptanoate', 'c12-15', 'dimethicon', 'laureth-4', 'octocrylene', 'ethylhexyl salicylate', 'polyethylene', 'peg-100 stearate', 'hydrogenated lecithin', 'citrus limon juice extract', 'citrus grandis', 'mentha viridis extract', 'citrus aurantium dulcis', 'limonene', 'linalool', 'citral', 'garcinia mangostana fruit extract', 'panax ginseng root extract', 'citrus aurantium amara flower water', 'castanea sativa seed extract', 'psidium guajava (guava) fruit extract', 'citrus aurantium amara flower water', 'luminaria', 'saccharina extract', 'triticum vulgare bran extract', 'adenosine phosphate', 'pantethine', 'creatine', 'hordeum vulgare extract', 'folic acid', 'tourmaline', 'cordyceps sinensis extract', 'ethylhexyl glycerin', 'acetyl carnitine', 'caffeinee', 'rhodochrosite', 'sodium hyaluronate', 'isopropyl myristate', 'hydroxyethyl acrylate/sodium acryloyldimethyl taurate', 'trehalose', 'cera alba', 'pvp/hexadecane copolymer', 'squalene', 'caprylyl glycol', 'tocopheryl acetate', 'faex extract', 'isostearic acid', 'polymethyl methacrylate', 'dimethicon', 'silylate', 'polyhydroxystearic acid', 'magnesium ascorbyl phosphate', 'nylon 12', 'xanthan gum', 'hexylene', 'glycol', 'polysorbate 60', 'silica', 'bht', 'phenoxyethanol', 'ci 77491', 'ci 77492', 'ci 77499', 'titanium dioxide']","'Acne-prone', 'Enlarged pores', 'Bags under eyes'"
Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,https://www.lookfantastic.com/estee-lauder-daywear-multi-protection-anti-oxidant-creme-spf-15-30ml/11413747.html,Moisturiser,£25.20,['Bags under eyes'],Dry,"['ethylhexyl salicylate', 'dimethicon', 'butyloctyl salicylate', 'butylene glycol', 'butyl methoxydibenzoylmethane', 'polyester-8', 'cetyl ricinoleate', 'steareth-21', 'steareth-2', 'di-c12-15 alkyl fumarate', 'capric triglyceride', 'polysilicone-11', 'psidium guajava (guava) fruit extract', 'gentiana lutea (gentian) root extract', 'polygonum cuspidatum root extract', 'stearyl alcohol', 'hordeum vulgare extract', 'laminaria ochroleuca extract', 'rosmarinus officinalis extract', 'triticum vulgare bran extract', 'artemia extract', 'fumaria officinalis flower/leaf/stem extract', 'caffeinee', 'pentylene glycol', 'citrus limon juice extract', 'hydrolyzed opuntia ficus indica flower extract', 'vitis vinifera extract', 'hydrolyzed opuntia ficus indica flower extract', 'lauryl peg-9', 'thermus thermophillus ferment', 'behenyl alcohol', 'acrylic acid/vp crosspolymer', 'triacontanyl pvp', 'glycerin', 'c12-15', 'linoleic acid', 'cholesterol', 'squalene', 'sodium pca', '1,2-hexanediol', 'urea', 'capric triglyceride', 'dipropylene glycol', 'tocopheryl acetate', 'acrylamide/sodium', 'tetrahexyldecyl ascorbate', 'sodium hyaluronate', 'ergothioneine', 'isohexadecane', 'ppg-15 stearyl ether', 'glycyrrhetinic acid', 'trehalose', 'polyquaternium-51', 'polysorbate 80', 'lecithin', 'hydrogenated lecithin', 'fumaric acid', 'palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer', 'caprylyl glycol', 'cyclodextrin', 'sodium hydroxide', 'nordihydroguaiaretic acid', 'sodium chloride', 'ascorbyl tocopheryl maleate', 'parfum', 'citric acid', 'ethylbisiminomethylguaiacol manganese chloride', 'pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate', 'disodium edta', 'bht', 'sodium dehydroacetate', 'phenoxyethanol', 'ci 42090', 'ci 19140', 'ci 77289']",'Bags under eyes'
Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml,https://www.lookfantastic.com/origins-ginzing-ulta-hydrating-energy-boosting-cream-moisturiser-50ml/12193057.html,Moisturiser,£25.00,"['Acne-prone', 'Enlarged pores', 'Bags under eyes']",Oily,"['glycerin', 'capric triglyceride', 'c12-20', 'simmondsia chinensis leaf extract', 'capric triglyceride', 'hydroxyethyl urea', 'cetyl alcohol', 'niacinamide', 'dimethicon', 'butylene glycol', 'sodium polyaspartate', 'ammonium acryloyldimethyltaurate/vp', 'citrus limon juice extract', 'citrus grandis', 'mentha viridis extract', 'citrus aurantium dulcis', 'limonene', 'linalool', 'citral', 'panax ginseng root extract', 'hordeum vulgare extract', 'salicylic acid', 'algae extract', 'linoleic acid', 'caffeinee', 'sucrose', 'cucumis sativus extract', 'trehalose', 'ophiopogon japonicus root extract', 'sorbitol', 'phospholipid', 'tocopheryl acetate', 'tocopherol', 'coffea arabica seed extract', 'arganine', 'sodium hyaluronate', 'butyrospermum parkii', 'helianthus annuus seed oil', 'squalene', 'ethylhexyl glycerin', 'caprylyl glycol', 'peg-100 stearate', 'glyceryl stearate', 'potassium cetyl phosphate', 'acrylates/c10-30 alkyl', 'behenyl alcohol', 'xanthan gum', 'carbomer', 'sodium hydroxide', 'disodium edta', 'chlorphenesin', 'potassium sorbate', 'phenoxyethanol']","'Acne-prone', 'Enlarged pores', 'Bags under eyes'"
Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),https://www.lookfantastic.com/elizabeth-arden-eight-hour-cream-skin-protectant-50ml/10026014.html,Moisturiser,£28.00,"['Acne-prone', 'Enlarged pores']",Oily,"['petrolatum (568%)', 'lanolin', 'paraffinum liquidum', 'tocopherol', 'bht', 'salicylic acid', 'castor oil', 'olus oil', 'zea mays oil', 'parfum', 'citral', 'citronellol', 'geraniol', 'limonene', 'linalool', 'propylparaben', 'iron oxide']","'Acne-prone', 'Enlarged pores'"
La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-toleriane-sensitive-fluid-moisturiser-40ml/11855110.html,Moisturiser,£16.50,"['Acne-prone', 'Enlarged pores']",Oily,"['capric triglyceride', 'glycerin', 'propanediol', 'pentylene glycol', 'niacinamide', 'ammonium polyacryloyldmethyl taurate', 'caprylyl glycol', 'citric acid', 'xanthan gum']","'Acne-prone', 'Enlarged pores'"
La Roche-Posay Effaclar MAT+ 40ml,https://www.lookfantastic.com/la-roche-posay-effaclar-mat-40ml/11091826.html,Moisturiser,£17.00,"['Acne-prone', 'Enlarged pores']",Oily,"['cyclopentasiloxane', 'glycerin', 'isocetyl stearate', 'alcohol denat', 'dimethicon', 'dimethicon/vinyl dimethicon crosspolymer', 'acrylamide/sodium', 'methyl methacrylate crosspolymer', 'silica', 'cyclohexasiloxane', 'peg-100 stearate', 'cocamide mea', 'zinc pca', 'glyceryl stearate', 'triethanolamine', 'isohexadecane', 'sodium citrate', 'ascorbyl glucoside', 'nylon 12', 'capryloyl salicylic acid', 'tetrasodium edta', 'polysorbate 80', 'acrylates/c10-30 alkyl', 'tocopherol', 'methylparaben', 'salicylic acid', 'parfum']","'Acne-prone', 'Enlarged pores'"
Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-auto-replenishing-hydrator-50ml/11144741.html,Moisturiser,£37.00,['Bags under eyes'],Dry,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",'Bags under eyes'
Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-auto-replenishing-hydrator-15ml/12076053.html,Moisturiser,£12.00,['Bags under eyes'],Dry,"['dimethicon', 'butylene glycol', 'glycerin', 'trisiloxane', 'trehalose', 'sucrose', 'ammonium acryloyldimethyltaurate/vp', 'hydroxyethyl urea', 'camellia sinensis extract', 'silybum marianum extract', 'betula alba bark extract', 'saccharomyces lysate extract', 'aloe barbadenis extract', 'thermus thermophillus ferment', 'caffeinee', 'sorbitol', 'palmitoyl hexapeptide-12', 'sodium hyaluronate', 'caprylyl glycol', 'oleth-10', 'sodium polyaspartate', 'saccharide isomerate', 'hydrogenated lecithin', 'tocopheryl acetate', 'acrylates/c10-30 alkyl', 'glyceryl polymethacrylate', 'peg-8', 'hexylene glycol', 'magnesium ascorbyl phosphate', 'disodium edta', 'bht', 'phenoxyethanol', 'ci 14700', 'ci 19140']",'Bags under eyes'
Neutrogena Refreshingly Clear Oil-Free Moisturiser 50ml,https://www.lookfantastic.com/neutrogena-refreshingly-clear-oil-free-moisturiser-50ml/12309605.html,Moisturiser,£5.24,"['Acne-prone', 'Enlarged pores']",Oily,"['glycerin', 'propylene glycol', 'cetyl alcohol', 'c12-15', 'glyceryl stearate', 'peg-100 stearate', 'stearyl alcohol', 'c12-15', 'salicylic acid', 'aloe barbadenis extract', 'cetyl lactate', 'chamomilla recutita flower oil', 'cocamidopropyl pg-dimonium chloride phosphate', 'menthyl lactate', 'dimethicon', 'propylene glycol isostearate', 'sodium isostearoyl lactylate', 'acrylates/c10-30 alkyl', 'carbomer', 'sodium chloride', 'palmitic acid', 'stearic acid', 'disodium edta', 'sodium hydroxide', 'benzalkonium chloride', 'ethylparaben', 'methylparaben', 'propylparaben', 'phenoxyethanol', 'parfum', 'benzyl alcohol']","'Acne-prone', 'Enlarged pores'"
The Ordinary Vitamin C Suspension Cream 30% in Silicone 30ml,https://www.lookfantastic.com/the-ordinary-vitamin-c-suspension-cream-30-in-silicone-30ml/11638504.html,Moisturiser,£6.10,"['Fine lines/wrinkles (aging)', 'Bags under eyes']",Unknown,"['dimethicon', 'ascorbic acid', 'polysilicone-11', 'dimethicon']", 'Bags under eyes'
La Roche-Posay Toleriane Sensitive Moisturiser 40ml,https://www.lookfantastic.com/la-roche-posay-toleriane-sensitive-moisturiser-40ml/11855111.html,Moisturiser,£16.50,"['Acne-prone', 'Enlarged pores']",Oily,"['capric triglyceride', 'glycerin', 'propanediol', 'pentylene glycol', 'niacinamide', 'ammonium polyacryloyldmethyl taurate', 'caprylyl glycol', 'citric acid', 'xanthan gum']","'Acne-prone', 'Enlarged pores'"
Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml,https://www.lookfantastic.com/caudalie-vinoperfect-dark-spot-correcting-glycolic-night-cream-50ml/11979372.html,Moisturiser,£34.00,['Redness'],Dry,"['butylene glycol', 'glycerin', 'cetearyl alcohol', 'coco-caprylate', 'glyceryl stearate se', 'butyrospermum parkii', 'capric triglyceride', 'vitis vinifera extract', 'hydrogenated olus oil', 'triheptanoin', 'potassium cetyl phosphate', 'panthenol', 'squalene', 'glycolic acid', 'palmitoyl grapevine extract', 'cetearyl glucoside', 'bisabolol', 'sodium hyaluronate', 'tocopheryl acetate', 'acacia senegal gum', 'xanthan gum', 'caprylyl glycol', 'cassia angustifolia seed polysaccharide', 'papain', 'tocopherol', 'arganine', 'benzyl alcohol', 'dehydroacetic acid', 'carbomer', '1,2-hexanediol', 'algin', 'sodium hydroxide', 'sodium phytate', 'parfum', 'geraniol', 'limonene', 'linalool']",'Redness'
